PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),kalite
18.98,40.06,14.24,32.99,10.74,1
27.72,49.8,14.76,32.97,17.53,0
31.96,65.48,14.59,36.73,18.64,0
8.09,36.59,15.84,28.18,3.6,1
17.33,48.34,14.56,37.1,9.28,0
14.15,44.75,10.85,30.58,7.8,0
15.01,45.09,11.95,33.11,10.44,0
35.94,41.24,15.46,34.26,16.68,0
31.07,61.66,17.96,34.87,17.63,0
7.08,26.06,10.94,18.85,4.92,1
8.15,35.5,22.17,49.66,4.82,1
36.75,80 ,29.56,80.56,25.24,0
24.82,43.88,16.29,42.16,16.38,0
20.61,45.24,20.44,45.89,11.77,0
20.44,58.65,24.29,59.55,13.59,0
13.62,48.43,21.26,38.21,8.14,0
61.01,102.26,34.75,101.27,31.75,0
119.45,116.45,34.52,122.6,75.88,0
138.51,167.57,39.27,172.64,94.31,0
55.81,75.12,24.63,56.01,37.99,0
30.09,73.78,24.2,63.25,23.11,0
16.34,57.47,17.68,34.99,12.09,0
33.46,66.86,22.87,53.75,18.8,0
10.02,30.48,12.59,18.45,5.53,0
26.69,54.01,22.15,38.74,14.6,0
62.27,29.02,13.48,20.09,30.05,0
36.36,47.76,21.37,47,20.32,0
51.36,62.28,22.89,57.71,22.44,0
59.59,59.78,21.22,39.28,23.34,0
37.51,30.92,15.57,23.08,14.07,1
32.13,26.97,15.14,24.36,8.21,1
37.03,35.27,20.27,45.51,7.91,1
113.87,85.33,29.35,108.49,43.92,0
106.76,97.54,19.27,73.34,47.27,0
90.72,70.4,16.68,43,34.23,0
82.29,68.22,12.36,35.82,30.06,0
37.79,37.19,13.43,34.92,15.5,1
43.77,30.84,13.46,34.37,16.79,1
36.97,39.78,13.45,29.39,11.32,1
42.7,32.91,15.99,34.3,15.85,1
47.83,56.77,13.7,29.56,17.31,0
55.74,74.36,15.19,32.59,31.24,0
31.32,35.48,13.12,33.89,21.05,1
25.38,42.89,14.64,25.8,16.77,0
23.3,26.64,13.58,28.11,20.42,1
32.82,24.39,14.64,30.26,4.09,1
38.88,22.48,14.78,30.96,8.56,1
54.73,61.91,19.11,35.85,18.22,0
93.84,87.2,26.44,72.87,47.32,0
66.86,79.12,24.76,59.38,32.85,0
79.37,82.29,26.41,87.21,37.58,0
97.37,84.81,26.83,75.75,45.4,0
107.78,76.78,26.89,76.67,56.66,0
73.23,66.86,23.39,45.49,30.52,0
37.2,37.57,10.4,14.25,9.18,1
43.43,41.28,12.52,19.56,13.79,0
46.8,40.63,17.16,39.66,17.56,1
40.68,25.2,15.15,29.47,8.97,1
32.08,43.14,18.87,45.25,3.25,1
80.98,85.61,28.08,78.92,33.17,0
67.8,85.59,26.89,73.35,33.52,0
42.14,32.44,15.84,24.81,10.92,0
40.97,58.72,24.91,55.63,13.53,0
71.6,68.36,27.1,71.84,28.56,0
59.14,60.45,27.14,67.32,23.47,0
35.49,48.56,22.28,38.81,7.49,0
52.24,59.67,25.69,72.94,20.45,0
55.18,62.69,27.47,67.3,21.71,0
51.29,54.73,22.36,46.47,16.4,0
70.77,55.36,26.21,73.72,24.93,0
43.29,35.25,20.48,40.93,16.69,1
39.11,29.96,14.34,30.68,5.92,1
40.4,31.69,16.17,34.44,6.87,1
38.74,32.39,14.79,41.68,7.66,1
34.61,32.8,15.02,38.22,5.73,1
44.5,58.43,16.28,42.27,11.94,1
49.45,52.63,12.92,27.86,11.5,0
41.59,51.24,11.94,30.17,14.56,0
61.53,47.38,17.37,38.38,27.85,0
 52.2,23.63,15.65,26.75,18.38,0
63.05,40.49,20.97,39.23,28.66,0
55.96,35.61,16.55,28.07,24.65,0
49.53,28.08,12.84,19.35,15.44,1
